year,state name,region_1,age,sex_1,race,race_1,martial status,union type,educ99,occ,ind,wkswork1,uhrswork,incwage
1990,New York,Northeast,58,male,3,Hispanic,Never mar,NIU,,335,871,52,35,14200.0
1990,New York,Northeast,37,male,1,White,Never mar,No union coverage,,217,380,52,40,28000.0
1990,California,West,34,male,1,White,Never mar,No union coverage,,64,740,47,45,27500.0
1990,Texas,South,32,male,3,Hispanic,"Married, spouse present",NIU,,243,751,52,48,28000.0
1990,New Hampshire,Northeast,48,male,1,White,"Married, spouse present",NIU,,877,601,52,40,29000.0
1990,Florida,South,29,male,1,White,Never mar,No union coverage,,357,921,52,40,19000.0
1990,Oregon,West,43,male,1,White,"Married, spouse present",NIU,,825,400,52,20,15537.0
1990,Florida,South,62,male,1,White,Divorced,NIU,,76,50,40,40,37000.0
1990,Nebraska,Midwest,28,male,1,White,"Married, spouse present",No union coverage,,229,312,52,40,19600.0
1990,New Mexico,West,55,male,3,Hispanic,"Married, spouse present",NIU,,174,871,52,45,33211.0
1990,Idaho,West,42,male,1,White,Divorced,NIU,,19,470,52,40,27000.0
1990,New Mexico,West,38,male,1,White,"Married, spouse present",Covered by union but not a member,,19,30,52,45,34000.0
1990,Illinois,Midwest,50,male,1,White,Never mar,NIU,,453,412,52,35,19000.0
1990,Connecticut,Northeast,39,male,1,White,Never mar,NIU,,804,60,52,40,25000.0
1990,New York,Northeast,53,male,3,Hispanic,"Married, spouse present",NIU,,385,410,52,40,27000.0
1990,California,West,29,male,1,White,"Married, spouse present",NIU,,355,412,52,45,35000.0
1990,West Virginia,South,26,male,1,White,"Married, spouse present",NIU,,873,282,52,45,14000.0
1990,Michigan,Midwest,27,male,2,Black,Divorced,NIU,,167,840,52,40,24000.0
1990,Wyoming,West,50,male,1,White,"Married, spouse present",NIU,,856,471,52,48,27000.0
1990,Hawaii,West,38,male,4,Other,"Married, spouse present",Member of labor union,,777,112,52,40,23000.0
1990,Michigan,Midwest,36,male,1,White,Separated,No union coverage,,885,621,52,40,9000.0
1990,Texas,South,25,male,1,White,"Married, spouse present",No union coverage,,243,601,52,40,10920.0
1990,Colorado,West,28,male,1,White,Never mar,No union coverage,,806,771,52,40,24000.0
1990,North Carolina,South,41,male,1,White,Divorced,NIU,,337,882,52,42,16899.0
1990,Wisconsin,Midwest,47,male,1,White,"Married, spouse present",NIU,,19,440,52,45,23475.0
1990,Iowa,Midwest,43,male,1,White,"Married, spouse present",NIU,,889,760,52,50,20000.0
1990,Pennsylvania,Northeast,28,male,1,White,Never mar,NIU,,737,172,52,35,30000.0
1990,Ohio,Midwest,32,male,1,White,"Married, spouse present",NIU,,84,831,52,60,26556.0
1990,Texas,South,28,male,1,White,"Married, spouse present",NIU,,804,910,52,40,22000.0
1990,West Virginia,South,30,male,1,White,"Married, spouse present",No union coverage,,804,410,24,50,9500.0
1990,Massachusetts,Northeast,40,male,1,White,"Married, spouse present",NIU,,375,711,52,40,35000.0
1990,Minnesota,Midwest,51,male,1,White,"Married, spouse present",NIU,,19,441,52,50,67000.0
1990,North Carolina,South,27,male,1,White,Never mar,NIU,,754,161,52,44,22000.0
1990,Florida,South,44,male,3,Hispanic,"Married, spouse present",NIU,,243,601,52,40,8400.0
1990,Pennsylvania,Northeast,47,male,1,White,"Married, spouse present",NIU,,804,410,48,55,36000.0
1990,North Carolina,South,40,male,1,White,"Married, spouse present",NIU,,259,530,52,55,22000.0
1990,Hawaii,West,31,male,4,Other,Never mar,Member of labor union,,805,562,52,40,48000.0
1990,California,West,44,male,3,Hispanic,Never mar,NIU,,783,331,52,40,20000.0
1990,Illinois,Midwest,38,male,1,White,"Married, spouse present",NIU,,243,601,52,40,19000.0
1990,Oregon,West,38,male,1,White,"Married, spouse present",NIU,,414,910,52,42,27000.0
1990,New York,Northeast,46,male,1,White,"Married, spouse present",No union coverage,,637,342,52,40,30000.0
1990,District of Columbia,South,39,male,1,White,Never mar,No union coverage,,16,712,52,40,19000.0
1990,Pennsylvania,Northeast,47,male,1,White,"Married, spouse present",NIU,,826,400,52,40,42000.0
1990,Illinois,Midwest,36,male,1,White,"Married, spouse present",No union coverage,,774,742,52,40,21000.0
1990,Michigan,Midwest,31,male,1,White,Divorced,NIU,,533,351,51,40,47000.0
1990,North Carolina,South,38,male,2,Black,"Married, spouse present",NIU,,856,60,52,40,13200.0
1990,Iowa,Midwest,26,male,1,White,"Married, spouse present",NIU,,799,231,52,40,26797.0
1990,Oklahoma,South,44,male,1,White,"Married, spouse present",No union coverage,,7,312,52,40,43000.0
